()

------ PROCESSES AND THREADS (ps -A -T -Z -O pri,nice,rtprio,sched,pcy,time) ------
LABEL                          USER           PID   TID  PPID     VSZ    RSS WCHAN            ADDR S PRI  NI RTPRIO SCH PCY     TIME CMD            
u:r:kernel:s0                  root          2085  2085     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 mc_timer
u:r:kernel:s0                  root          2088  2088     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 score_interface
u:r:kernel:s0                  root          2089  2089     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 score_vertex
u:r:vendor_init:s0             root          2132  2132     1   10376    608 0                   0 S  19   0      -   0  fg 00:00:00 init
u:r:vendor_init:s0             root          2133  2133     1    9992    600 0                   0 S  19   0      -   0  fg 00:00:00 init
u:r:ueventd:s0                 root          2135  2135     1   10184   1284 0                   0 S  19   0      -   0  fg 00:00:51 ueventd
u:r:kernel:s0                  root          2780  2780     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 dhd_watchdog_th
u:r:kernel:s0                  root          2782  2782     2       0      0 0                   0 S  19   0      -   0  fg 00:00:01 dhd_rpm_state_t
u:r:watchdogd:s0               root          3149  3149     1    9992    348 0                   0 S  19   0      -   0  fg 00:00:00 watchdogd
u:r:kernel:s0                  root          3151  3151     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 mtp_read_send
u:r:kernel:s0                  root          3164  3164     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 kdmflush
u:r:kernel:s0                  root          3166  3166     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          3167  3167     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 kverityd
u:r:kernel:s0                  root          3168  3168     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          3171  3171     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 kworker/7:2
u:r:kernel:s0                  root          3172  3172     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ext4-rsv-conver
u:r:kernel:s0                  root          3177  3177     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 jbd2/sda18-8
u:r:kernel:s0                  root          3178  3178     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ext4-rsv-conver
u:r:kernel:s0                  root          3180  3180     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 jbd2/sda3-8
u:r:kernel:s0                  root          3181  3181     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ext4-rsv-conver
u:r:kernel:s0                  root          3183  3183     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 jbd2/sdd1-8
u:r:kernel:s0                  root          3184  3184     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ext4-rsv-conver
u:r:kernel:s0                  root          3186  3186     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 jbd2/sda20-8
u:r:kernel:s0                  root          3187  3187     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ext4-rsv-conver
u:r:logd:s0                    logd          3188  3188     1   28264  14488 0                   0 S   9  10      -   3     00:00:36 logd
u:r:logd:s0                    logd          3188  3193     1   28264  14488 0                   0 S   9  10      -   3     00:00:02 logd.daemon
u:r:logd:s0                    logd          3188  3194     1   28264  14488 0                   0 S   9  10      -   3     00:00:00 logd.reader
u:r:logd:s0                    logd          3188  3195     1   28264  14488 0                   0 S   9  10      -   3     00:00:25 logd.writer
u:r:logd:s0                    logd          3188  3196     1   28264  14488 0                   0 S   9  10      -   3     00:00:00 logd.control
u:r:servicemanager:s0          system        3189  3189     1   12680   4032 0                   0 S  19   0      -   0     00:00:06 servicemanager
u:r:hwservicemanager:s0        system        3190  3190     1 2127808   6612 0                   0 S  19   0      -   0     00:00:00 hwservicemanage
u:r:vndservicemanager:s0       system        3191  3191     1   12680   3488 0                   0 S  19   0      -   0     00:00:00 vndservicemanag
u:r:hal_keymaster_default:s0   system        3198  3198     1 2127076   6432 0                   0 S  19   0      -   0  fg 00:00:00 keymaster@3.0-s
u:r:hal_wsm_default:s0         system        3199  3199     1    8276   2892 0                   0 S  19   0      -   0  fg 00:00:00 wsm@1.0-service
u:r:mobicore:s0                system        3200  3200     1   17424   2908 0                   0 S  19   0      -   0  fg 00:00:00 mcDriverDaemon
u:r:mobicore:s0                system        3200  3204     1   17424   2908 0                   0 S  19   0      -   0  fg 00:00:00 McDaemon.SWd
u:r:mobicore:s0                system        3200  3414     1   17424   2908 0                   0 S  19   0      -   0  fg 00:00:00 McDaemon.FSD2
u:r:mobicore:s0                system        3200  3416     1   17424   2908 0                   0 S  19   0      -   0  fg 00:00:00 McDaemon.Server
u:r:storkd:s0                  system        3202  3202     1   10240   2544 0                   0 S  19   0      -   0  fg 00:00:00 storkd
u:r:vold:s0                    root          3203  3203     1 2164884  12364 0                   0 S  19   0      -   0  fg 00:00:01 Binder:3203_2
u:r:vold:s0                    root          3203  3207     1 2164884  12364 0                   0 S  19   0      -   0  fg 00:00:00 vold
u:r:vold:s0                    root          3203  3208     1 2164884  12364 0                   0 S  19   0      -   0  fg 00:00:00 vold
u:r:vold:s0                    root          3203  3209     1 2164884  12364 0                   0 S  19   0      -   0  fg 00:00:00 vold
